Customer,Primary Phone,EMail Address,Full Name,Street,City,State,Zip Code,2nd Phone,2nd Email,3rd Email
Cardinal Lawn Scapes,336-240-4174,terri@cardinallawnscapes.com,Cory Snow,1234 High Valley Rd.,King,NC,27021,, cory@cardinallawnscapes.com, emily@cardinallawnscapes.com
Carolina Green Lawncare,336-442-9221,carolinagreenlawncare@yahoo.com,,940 Fisher Ferry St.,Thomasville,NC,27360,336-409-7300,,
Carolina Landscape Associates,366-362-4438,clalandscape@aol.com,,8465 Hunting Ct.,Stokesdale,NC,27357,,,
"Carolina Landscape, Inc.",336-399-5246,tearle@triad.rr.com,Terry Earle,991 Dalton Rd.,Lewisville,NC,27023,, pearle123.pe8@gmail.com,
Carpenter Landscaping,336-416-1503,info@aacpatio.com,,2037 Chris Dr.,Walkertown,NC,27051,,,
Cecile  lawn and landscape,336-529-1054,Jarretcecile@aol.com,Jarrett Cecile,,,,,,,
Chappell Equipment Corporation,336-884-0345,,,1511 Blandwood Dr.,High Point,NC,27260-8201,336-240-2951,,
Cimarron Homes,919-382-2888,ap@cimarronhomes.com,,2330 Operations Dr.,Durham,NC,27705,, stevecmorrison@gmail.com,
City of Burlington,336-263-8811,cgural@burlingtonnc.gov,Casey,,,,,,,
City of Greensboro,336-373-2033,raymond.coleman@greensboro-nc.gov,Raymond Coleman,2602 S Elm-Eugene St.,Greensboro,NC,27406,336-382-3810,,
City of High Point,336-883-8530,greg.alspaugh@highpointnc.gov,Greg,3409 N. Centennial St.,High Point,NC,27265,336-327-3719,,
City of Winston Salem,336-817-6022,randylb@cityofws.org,Randy Briley,,,,,336-727-2920,,
Common Ground Landscape,336-987-1098,johnmfutrell1@gmail.com,John Futrell,,,,,,,
"Consolidated Landscaping, Inc.",336-924-0171,adam@reynoldanursery.com,,210 Altay Dr.,Winston-Salem,NC,27106,336-345-0906,,
Cranford Landscaping,336-239-1686,,Benji Cranford,,,,,336-239-1686,,
Davidson Lawn & Landscape Inc,336-362-3877,dlnursery@gmail.com,,6301 Golden Fern Ct.,Greensboro,NC,27406,,,
"Delta Homes, LLC.",336-617-4772,kalukbr1@gmail.com,,3603 South Rockingham Rd.,Greensboro,NC,27407,919-534-5057,,
Dependable Lawn Care,704-239-1563,,Dusty,1001 Emerald Bay Dr.,Salisbury,NC,28146,,,
Design By Rutledge Inc,336-830-2511,srutledge9@yahoo.com,,9573 US Highway 220,Stoneville,NC,27048,,,
Diamond Landscape Services,919-414-5789,office@diamondnc.com,Amy,,,,,,,
"DLS, Inc.",336-282-3636,mconnolly@dunlaplawnservice.com,Matt,5107 North Church St.,Greensboro,NC,,336-233-6009,,
DonalSons Solutions,336-447-3709,donalsonsolutions@gmail.com,Jason McCants,126 Claystone Dr.,Gibsonville,NC,27249,,,
"Eagle Hardscapes, L.L.C.",3363625342,Crotts3@gmail.com,Jimmy crotts,5610 Buddingwood Dr.,Greensboro,NC,27409,,,
Easter Creek Construction,336-782-1488,blucas@eastercreekpartners.com,,,,,,,,
Eco Logic Environmental Landscapes,336-403-3121,jon@think-ecologic.com,Jon Hanna,9186 Reynolda Rd.,Pfafftown,NC,27040,,,
Edgefield Plant and Stone,336-662-0081,edgefieldplantstone@gmail.com,,3307 Edgefield Rd.,Greensboro,NC,27409,336-207-1871,,
Furman Landscaping,336-340-5403,furmanlandscaping@yahoo.com,,5408 Westerborne Dr.,Greensboro,NC,27407,,,
Furnitureland South,336-906-4104,judyfaulkner@furniturelandsouth.com,,PO Box 1550,Jamestown,NC,27282,,,
G & C Lawn Care,336-817-7108,gcoalson@triad.rr.com,,4170 Allistair Rd.,Winston-Salem,NC,27104,,,
Garland Landscaping,336-442-6745,jagarland10@gmail.com,,7813 Woodpark Dr.,High Point,NC,27265,,,
"Gatehouse Management, LLC.",336-609-0009,redscw@gmail.com,,PO Box 38276,Greensboro,NC,27438,,,
GIL & lawn care,336-624-3172,treepanterslandscaping@gmail.com,rufino gil,4920 Brian Center Ln.,Winston-Salem,NC,27106,,,
Godoy Lawn Care,336-240-7591,,,175 Rogers Rd.,Thomasville,NC,27260,,,
Gomez Landscaping,336-450-6716,,,PO Box 7684,Greensboro,NC,27417,,,
Grady Hedrick Landscaping,336-746-7800,gradyhedricklandscaping@gmail.com,,379 Beck's Nursery Rd.,Lexington,NC,27292,336-362-9237, ehhedrick@triad.rr.com,
Grandpa's Landscape Village,336-307-8742,justice02@northstate.net,,,,,,,,
Great Atlantic Landscaping,336-209-3607,,,,,,,,,
Green & Clean Landscaping,336-624-5729,alexromo63@gmail.com,,503 Rosebriar Ct.,Greensboro,NC,27407,336-624-5729,,
Green Acres Landscape,336-675-0328,,,,,,,,,
Green Art's Landscaping,336-345-0873,,,500 Alvis Ln.,Winston-Salem,NC,27107,,,
"Green Art, Inc.",919-669-1350,,,105 Beargrass Ct.,Garner,NC,27529-7522,,,
Green Shark Lawncare,336-965-2577,greensharklawncare@gmail.com,,1910 Glenside Dr.,Greensboro,NC,27405,,,
Green Spirit Landscaping,336-580-6640,dprintup@northstate.net,,104 Buckeye Rd.,Jamestown,NC,27282,,,
Green View Landscaping,336-669-6272,ryan.saunders@greenviewgardencenter.com,,4706 Liberty Rd.,Greensboro,NC,27406,336-669-6272, richard.saunders@greenviewgardencenter.com,
Green Visions Landscape,336-669-7193,mvinroot@triad.rr.com,,7988 Witty Rd.,Summerfield,NC,27358,,dana.ramm@greenvisionslandscape.com,
Greenworx,336-662-7713,caleb@ncgreenworx.com,,4406 Kingsland Dr.,Greensboro,NC,27455,336-662-7713,,
Hermann's Nursery & Landscaping,336-399-5101,hermannslandscaping@gmail.com,,9089 Lasater Rd.,Clemmons,NC,27012,336-766-6728,,
Hickory Creek Outdoors,336-451-0827,gknight@hickorycreekoutdoors.com,,4614 Groometown Rd.,Greensboro,NC,27407,,,
High Rock Land & Hardscapes,336-656-4872,HighRockLH@gmail.com,Chris 336-707-8589,6844 High Rock Rd.,Browns Summit,NC,27214,336-707-8589,,
Holliday Landscape & Tree,336-362-7966,robinholliday@att.net,Rob Holliday,P.O. Box 456,Summerfield,NC,27358,,,
Holly Springs Landscaping,336-699-4610,bvanhoy@triad.rr.com,,4428 Holly Springs Rd.,East Bend,NC,27018,336-416-6932,,
"Ideal Landscaping & Irrigation, Inc.",336-834-2424,admin@ideallandscapingnc.com,Chris 919-244-1882,PO Box 568,Oak Ridge,NC,27407,919-244-1882,,
"Iscapes, Inc.",336-516-0537,lisa@iscapes.biz,,4517 Springbrook Dr.,Burlington,NC,27215-7022,,,
J & J Landscaping & Lawncare,336-266-3239,jpayne002@gmail.com,,PMB 120,Whitsett,NC,27377,,,
J & J Underground,336-858-7701,jascenh@aol.com,,5771 Driftwood Dr.,Archdale,NC,27263,,,
J R Landscaping & Tree Service,336-451-0294,brad@jrtree.com,,312 Isbell St.,Greensboro,NC,27401,919-699-3777,,
JL Lawn & Landscaping,336-442-1613,jllandscape1@yahoo.com,,307 Beech Retreat Dr.,Lexington,NC,27292,,,
JLC Lawncare,336-509-4039,,,116 Duffy Ave.,Greensboro,NC,27455,,,
John  Deese,336-214-0424,,John Deese,8728 Old 93 Rd.,Graham,NC,27253,,,
John Marks Landscaping,336-669-6567,scapinj1@yahoo.com,,2302 McKnight Mill Rd.,Greensboro,NC,27405,,,
"Jones Landscaping Service, Inc.",336-998-2819,joneslandsca@yadtel.net,,897 Underpass Rd.,Advance,NC,27006-7527,336-909-2055,,
"JWL, Inc.",980-229-7718,jwlinc@hotmail.com,,4982 West Rd.,Kernersville,NC,27284,,,
K & K Yard Service,336-324-4552,kyleajimison@gmail.com,,2416 Beaconwood Dr.,Greensboro,NC,27455,,,
"Kanoy Landscaping, Inc.",336-669-5233,,,2835 Oak Ridge Rd.,Oak Ridge,NC,27310,,,
Kerns Lawn Services,336-496-8506,kernslawnservice@gmail.com,,PO Box 22072,Greensboro,NC,27420,336-215-1131,,
Kevin Greeson & Associates,336-337-9745,gardensbykevin@yahoo.com,Kevin Greeson,3621 Williams Dairy Rd.,Greensboro,NC,27406,,,
Keystone Homes,336-516-3148,AMichael@gokeystone.com,,3708 Alliance Dr.,Greensboro,NC,27407,,BHardy@gokeystone.com, SMiller@gokeystone.com
KPS Lawncare & Landscape,919-434-5488,kpslawncare@hotmail.com,,PO Box 58156,Raleigh,NC,27658,,,
Kreber Graphics,336-861-2700,adam.belaj@kreber.com,,221 Swathmore Ave.,High Point,NC,27263,, lori.johnson@kreber.com, Bill.Harding@Kreber.com
Lakescapes Nursery,540-493-4318,info@lakescapesnursery.com,,PO Box 219,Union Hall,VA,24176,540-493-4318,,
"Lakeview Farm Landscaping and Maint., Inc",336-495-1115,scott.lakeviewfarms@gmail.com,,4310 Old Walker Mill Rd.,Randleman,NC,27317,336-257-4885,,
Lamberts Lawncare,336-317-5447,cole6583@me.com,,1013 Harvest Time Way,Greensboro,NC,27410,,,
"LandPros, Inc.",336-309-4986,rparker@landprosnc.com,,PO Box 5852,High Point,NC,27262,336-823-5636,,
Landscape Solutions & Design,336-862-9814,kostas@triadlandscapingservices.com,,808 Eastchester Dr.,High Point,NC,27262,, atabsinv@gmail.com, Contactus@triadlandscapingservices.com
Lane and Sons,336-682-8997,,,5901 Loradale Dr.,Kernersville,NC,27284,,,
Lawn Creation Landscapes,336-266-3619,lawncreationslandscapes@gmail.com,Cole Weaver,3849 - D Burch Bridge Rd.,Burlington,NC,27217,,,
Lawns Unlimited,336-613-4611,lawnsunlimited@bellsouth.net,,1660 Brown Rd.,Summerfield,NC,27358,336-613-4611,,
Legacy Landscapes,336-413-3048,wlkrprice@yahoo.com,,PO Box 617,Pfafftown,NC,27040,,,
Lemmons Lawn Service,336-655-2935,lemlawnsvc@gmail.com,,7836 Vance Rd.,Kernersville,NC,27284,,,
LIS,336-454-6605,lis@northstate.net,,207 Hillstone Dr.,Jamestown,NC,27282,336-382-2674,,
Living Landscapes,336-227-5769,pd@livinglandscapes.net,,2077 S. Main St.,Graham,NC,27253,336-693-2979,,
Long Brothers,919-625-1344,don@longbrotherslandscaping.com,,,,,,919-622-6774,,
"Lowdermilk, LLC.",336-261-8085,lowdermilkllc@gmail.com,,3348 Boy Wood Rd.,Graham,NC,27253,,,
Marsh Brothers,336-406-5987,marshbrothers@gmail.com,,,,,,,,
Masterworks,336-908-8839,masterworks1986@icloud.com,,6035 Kempsford Ct.,Kernersville,NC,27284,,,
May's Lawncare,336-214-6281,kwanza@mayslawncare.com,,153 MacArthur Ln.,Burlington,NC,27217,,,
McPherson Grading Co.,336-516-5013,kfoust@mcphersongrading.com,,2641 Russell McPherson Rd.,Burlington,NC,27215,,,
"Mid South Land Services, Inc.",336-407-7534,qualitytreecare@yahoo.com,,138 Hillcrest Dr.,Advance,NC,27006,,,
Midsouth Irrigation,336-462-3676,shawn@midsouthirrigation.com,,P.O. Box 297,Lewisville,NC,27023,336-765-7475,,
MLC Outdoors,336-681-8641,mlcoutdoors@gmail.com,,PO Box 4306,Greensboro,NC,27404,,,
Moser Landscape,336-813-2712,chris@moserlandscapingnc.com,Chris Moser,6211 Elkvue Dr.,Pfafftown,NC,27040,,,
Mustard Seed Nursery,336-644-8144,gauldin@mustardseednursery.com,,8581 Belews Creek Rd.,Stokesdale,NC,27357,336-215-6442,,
"Nature's Way Of Greensboro, Inc.",336-362-6813,rtchambers2@outlook.com,,6829 Pepperdine Rd.,Greensboro,NC,27410,,,
NC Zoo,336-879-7304,cindy.ingold@nczoo.org,,4401 Zoo Pkwy,Asheboro,NC,27205,336-953-1722,,
Nelson's Irrigation,336-784-4190,nicole@nelsonsirrigation.com,,1767 Gyro Dr.,Winston-Salem,NC,27127,,,
New Earth Designs,336-272-6559,,,401 E. Bessemer Ave.,Greensboro,NC,27401,336-382-6118,,
New Garden Landscaping and Nursery,336-665-0291,dsharpe@newgarden.com,,5577 Garden Village Way,Greensboro,NC,27410,, vgardner@newgardenselect.com,
New Image Landscape,336-410-1998,,,,,,,,,
"Outdoor Landscapes, LLC.",336-689-0088,,,"1380 Afton Park Ln., Apt. 2B",High Point,NC,27265,336-689-0088,,
P & G Lawncare & Landscapes,336-269-1520,,,604 S. Sellar Mill Rd.,Burlington,NC,27217,,,
Peanut's Garden Center,336-244-3544,roadrunnerlandscaping@hotmail.com,,15848 Hwy 268,Ronda,NC,28670,336-835-9273,,
Piedmont Carolina Nursery,336-669-2405,judy@piedmontcarolina.com,,1867 Sandy Ridge Rd.,Colfax,NC,27235,,,
"Pine Enterprises, Inc.",336-240-4269,,,6021 Oak Acres Dr.,Kernersville,NC,27284,,,
Plant It Earth,336-399-9539,plantitearthkingnc@gmail.com,David Barneycastle,2260 Mountain View Rd.,King,NC,27021,,,
Precision Landscape,336-209-4409,matt@precisionlandscapesnc.com,,PO Box 5765,High Point,NC,27262,,,
Precision Landscaping & Lawn,336-764-4635,JDfaust18@gmail.com,,145 Motor Rd.,Lexington,NC,27295,336-362-2467,,
Preferred Lawn & Garden,336-996-2095,preferredlawngarden@yahoo.com,,PO Box 192,Kernersville,NC,27285,,,
Price Nursery,336-889-3588,,,130 Westchester Dr.,High Point,NC,27262,,,
Prillaman Landscape Dimensions Inc,276-956-2113,pldinc@embarqmail.com,,9251 Greensboro Rd.,Ridgeway,VA,24148-4600,276-340-3775,,
Pro Care Turf,336-736-6220,procareturf@gmail.com,,5746 Old Liberty Rd.,Franklinville,NC,27248,,,
Professional Lawn Service,336-587-3459,,Victor Hernandez,1404 Bridges Dr.,High Point,NC,27260,,,
Progressive Landscape Designs,336-414-2848,scott@arnoldla.com,,"501 Shephard St., Suite B-6",Winston-Salem,NC,27103,,,
Ray Greeson Landscaping,336-792-0424,raygreeson@yahoo.com,Ray Greeson,5401 NC Hwy 54 South,Graham,NC,27253,,,
Reece's Landscaping,336-399-2654,mreece4@triad.rr.com,,PO Box 1004,Lewisville,NC,27023,,,
Reedyfork Environmental,336-558-5970,rsmall@reeddyfork.net,,PO Box 10406,Greensboro,NC,27404,,,
Refurbished Earth,336-791-3455,mlschwabenton@gmail.com,,,,,,,,
"Renn & Renn Construction, Inc.",336-312-1190,bsrenn@gmail.com,,PO Box 261,Stokesdale,NC,27357,,,
Reyes Hernandez Landscaping,336-987-6666,,Reyes Hernandez,,,,,,,
Ricky Coleman Landscaping,336-362-4014,scaping@aol.com,,1204 Meadow St.,Greensboro,NC,27405,,,
S & R Enterprises,336-245-8802,brian.srenterprises@gmail.com,,8200 NC Highway 150 N.,Clemmons,NC,27012,336-202-7821,,
Sabino Benitez Co,336-580-0538,sabinobenitez@yahoo.com,,8603 Haw River Rd.,Oak Ridge,NC,27310,,,
Salazar Landscaping,336-382-6883,salazarlandscape@aol.com,,1053 HWY 150,Summerfield,NC,27358,,,
Salmeron Lawn Care,336-740-4681,,,,,,,,,
Sanchez Landscaping,336-772-6684,info@sanchezlandscaping.com,,2009 Bundy Dr.,Greensboro,NC,27403,,,
Sandhill Fine Gardening,336-314-4037,carol@sandhillfinegardening.com,,2125 Neelley Way,Pleasant Garden,NC,27313,,,
Sexton Lawns Unlmited,336-823-2327,jackdsexton@icloud.com,,,,,,,,
Sharpe's Landscaping & Design,336-740-2120,sharpeslandscaping@gmail.com,,11 Onslowbay Ct.,Whitsett,NC,27377,,,
Sharper Image Landscaping,336-430-5811,info@asharperimageinc.com,Kevin 336-708-0477,3306 Immanuel Rd.,Greensboro,NC,27407,336-708-0477,,
Shelton Landscaping,336-362-2390,andycv477@aol.com,,5703 Fox Meadows Ct.,Oak Ridge,NC,27310,,,
Sides Seeding,336-462-0747,mike@sidesseeding.com,,1010 American Way,Lexington,NC,27295,,,
Site One Landscape,336-662-8733,,Wes,,,,,,,
Smart Scapes,336-907-6128,gabe8604@gmail.com,,PO Box 39433,Greensboro,NC,27438,,,
Southeastern Service Group,336-303-2425,southeasternservicegroup@gmail.com,,PO Box 1283,Greensboro,NC,27402,,,
Southern Exposure,336-451-4969,info@wemakedirtlookgood.com,,1000 NC Hwy 150 West,Summerfield,NC,27358,336-587-6973,,
Southern Groundworks,336-460-2220,southerngroundworks@yahoo.com,,1243 Old Farmer Rd.,Asheboro,NC,27203,,,
Southern Landscaping,336-625-6886,trpsouthland@aol.com,,626 Breeze Hill Rd.,Asheboro,NC,27203,336-626-9723,,
Staniel Key Landscaping,336-816-6590,matt@stankeyinc.com,Matt Howard,4214 Old Greensboro Rd.,Winston-Salem,NC,27101,, jessica@stankeyinc.com,
State Street Maintenance,336-362-6280,,,PO Box 430,Oak Ridge,NC,27310,,,
Steve's Landscaping,336-399-1119,stgalyean@yahoo.com,Steve Galyean,5860 Old Rural Hall Rd.,Winston-Salem,NC,27105,,,
Stockwell Landscape,336-653-7488,stockwelllandscaping@yahoo.com,,2200 Cedarwood Ct.,Asheboro,NC,27205,,,
Stone Center of Greensboro,336-621-3013,stonecenterofgreensboro@gmail.com,,101 Wagoner Bend Rd.,Greensboro,NC,27405,336-202-8081,,
Superior Lawn & Landscaping,336-655-9941,sllandscapes@aol.com,,612 Knollwood St.,Winston-Salem,NC,27103,,,
T and S Landscape Management,336-847-1702,,Ray Tucker,1836 Morgans Mill Way,High Point,NC,,,,
Teddy Norris Landscaping,336-266-3224,norristeddy@yahoo.com,,1517 Bethel Methodist Church Rd.,Burlington,NC,27217,,,
Tellez Landscaping and Lawn Care,3369183898,,Omar Tellez,2031 Saponi Village Ct.,Winston Salem,NC,27127,,,
Tesco Landscaping,270-957-0250,tescolandscaping@yahoo.com,,PO Box 333,Henderson,KY,42419,,,
The Arbors of Roaring Gap,336-363-6903,callen@southernsodgrass.com,,,,,,,,
TJ's Lawn Care,336-317-2538,terry-bonnie@att.net,,3511 Spicebush Tr.,Greensboro,NC,27410,,,
"TKD Management, LLC",336-337-7813,tkdia@aol.com,,,,,,,,
Tom's Creek Landscaping,336-857-2131,annette@tomscreek.com,,6454 Old State Highway 49,Denton,NC,27239,336-577-5065, nancy@tomscreek.com,
Town of Oak Ridge,336-644-7009,tlannon@oakridgenc.com,,PO Box 374,Oak Ridge,NC,27310,,,
Treadway Lawn Care,336-314-2387,tredway@me.com,,PO Box 651,Stoneville,NC,27048,,,
Triad Landscaping Solutions,336-215-7310,atd31567@gmail.com,,2400 Tweedmore Ct.,High Point,NC,27265,,,
Triad Leisure Scapes,336-362-2210,,,8432 Norcross Rd.,Colfax,NC,27235,,,
Triad Turf Techs,336-669-2966,,,516 Miltwood Dr.,Greensboro,NC,27455,,,
Triad Weed Free,336-671-5887,triadweedfree@yahoo.com,Logan,3935 Westpoint Blvd. Suite 112,Winston-Salem,NC,27103,,,
Tried N True Home Solutions,731-609-6320,Eric@TriedNTruehs.com,Eric Howell,,,,,,,
"Tuffvision, Inc",919-708-3178,tuffvisionscape@aol.com,,1108 West Landing Dr.,Sanford,NC,27330,,,
Turf Fashions,336-302-2327,admin@turffashions.com,,1236 Old Farmer Rd.,Asheboro,NC,27205,336-683-4216,,
"Turf Service, Inc.",336-854-0737,andee@tsilandscape.com,Matt,126 Manley Ave.,Greensboro,NC,27407,336-686-2250,,
"Turf Solutions, Inc.",336-451-5473,turfsolutions@triad.rr.com,,8304 Hammer Rd.,Stokesdale,NC,27357,,,
Twin Oaks Nursery,919-495-1469,,,PO Box 236,Louisburg,NC,27549,,,
Universal Landscapes,336-362-4039,universallandscapingdesign@gmail.com,,5721 NC Hwy. 62,Trinity,NC,27370,336-362-4040,,
Upward Landscape,336-409-1779,info@upwardlandscaping.com,,PO Box 157,Danbury,NC,27016,,,
Veritas Construction,336-404-1522,accounting@constructionbyveritas.com,,PO Box 582,Kernersville,NC,27284,,,
"Ward's Lawn Specialist, Inc",336-855-1106,cjoverby39@gmail.com,,PO Box 756,Summerfield,NC,27358,,,
Wesleyan Christian Academy,336-884-3333,jjones@wesed.org,,1917 N. Centennial St.,High Point,NC,27262,336-880-4196,,
Weston's Landscaping,336-403-7613,westonslandscaping@gmail.com,,3250 Presley Dr.,Winston-Salem,NC,27107,,,
Wildwood Timbers & Landscape,336-312-0413,codyhorn@wildwoodtimbers.com,Cody Horn,2742 Fuqua Ln.,Burlington,NC,27217,,,
Woodson Landscaping,336-486-0507,,,1409 Revere Rd.,Winston-Salem,NC,27103,,,
Worrel's Lawn Maintenance,336-516-3460,,,1964 Elon Ossipee Rd .,Elon,NC,27244,,,
